name,gender,pronounce
آبان دخت,f,abandokht
آبتاب,f,abtab
آبگین,f,abgin
آبگینه,f,abgine
آبنوس,f,abnus
آپام,f,apam
آپامه,f,apame
آتاناز,f,atanaz
آتبین,f,atbin
آترا,f,atra
آتری,f,atri
آتریسا,f,atrisa
آترین,f,atarin
آترینا,f,atrina
آتش,f,atash
آتشه,f,atashe
آتنا,f,atena
آتور,f,atur
آتوسا,f,atoosa
آتیه,f,atiye
آدینه,f,adine
آذر,f,azar
آذربو,f,azarbu
آذرچهر,f,azarchehr
آذرخش,f,azarakhsh
آذردخت,f,azardokht
آذرگل,f,azargol
آذرگون,f,azargun
آذرماه,f,azarmah
آذرمه,f,azarmah
آذرمیدخت,f,azarmidokht
آذرمینا,f,azarmina
آذرنوش,f,azarnush
آذرک,f,azarak
آذرین,f,azarin
آذین,f,azin
آذین دخت,f,azindokht
آراسته,f,araste
آرام,f,aram
آرامش,f,aramesh
آرامه,f,arame
آرتا,f,arta
آرتادخت,f,artadokht
آرتمیس,f,artemis
آرتینا,f,artina
آرزو,f,arezu
آرشیدا,f,arshida
آرمیتا,f,armita
آرمیتی,f,armiti
آرمینا,f,armina
آرمینه,f,armine
آرنوش,f,arnush
آرنیکا,f,arnika
آریادخت,f,ariyadokht
آریان,f,ariyan
آریانا,f,ariyana
آریاناز,f,ariyanaz
آریانوش,f,ariyanush
آریسا,f,arisa
آریسان,f,arisan
آریستا,f,arista
آریستا,f,arista
آرینا,f,ariyana
آزادچهر,f,azadchehr
آزاددخت,f,azaddokht
آزاده,f,azade
آزرم,f,azarm
آزرمیدخت,f,azarmidokht
آژند,f,azhand
آسادخت,f,asadokht
آسانا,f,asana
آسمان,f,aseman
آسنا,f,asna
آسوده,f,asude
آسیا,f,asiya
آسیه,f,asiye
آشتی,f,ashti
آشنا,f,ashna
آصفه,f,asefe
آفاق,f,afaq
آفتاب,f,aftab
آفریده,f,afaride
آفرین,f,afarin
آگرین,f,agarin
آلاله,f,alale
آلتین,f,altin
آلما,f,alma
آمال,f,amal
آمستریس,f,amesteris
آمنه,f,amene
آمیتیس,f,amitis
آمین,f,amin
آنا,f,ana
آنالی,f,anali
آناهیتا,f,anahita
آناهید,f,anahid
آنسه,f,anese
آنوش,f,anush
آنوشا,f,anusha
آنیتا,f,anita
آنیسا,f,anisa
آهنگ,f,ahang
آوا,f,ava
آوات,f,avat
آوازه,f,avaze
آوید,f,avid
آویز,f,aviz
آویز,f,aviz
آویژه,f,avizhe
آویژه,f,avizhe
آویسا,f,avisa
آویشن,f,avishan
آوین,f,avin
آوینا,f,avina
آیتن,f,aytan
آیتک,f,aytak
آیدا,f,ayda
آیدان,f,aydan
آیرین,f,ayrin
آیسان,f,aysan
آیسل,f,aysel
آیگین,f,aygin
آیلا,f,ayla
آیلا,f,ayla
آیلار,f,aylar
آیلین,f,aylin
آیما,f,ayma
آینا,f,ayna
آیناز,f,aynaz
آیه,f,ayeh
آیین,f,ayin
ابتسام,f,ebtesam
ابریشم,f,abrisham
احترام,f,ehteram
احسان,f,ehsan
احلام,f,ahlam
اختر,f,akhtar
اخگر,f,akhgar
ارتا,f,arta
ارزنده,f,arzande
ارسا,f,orsa
ارسان,f,arsan
ارشانوش,f,arshanush
ارشیا,f,arshiya
ارشین,f,arshin
ارغوان,f,arqavan
ارمغان,f,armagan
ارنواز,f,arnavaz
اروین,f,arvin
اسپنتا,f,espanta
اسرا,f,esra
اسرین,f,asrin
اسما,f,asma
اسنا,f,asna
اشرف,f,ashraf
اصیلا,f,asila
اطلس,f,atlas
اطلسی,f,atlasi
اطهر,f,athar
اعظم,f,azam
افرا,f,afra
افروز,f,afruz
افرینا,f,afrina
افسانه,f,afsane
افشان,f,afshan
افشین,f,afshin
اقاقیا,f,aqaqiya
اقبال,f,eqbal
اقدس,f,aqdas
اقلیما,f,eqlima
الارا,f,alar
الحان,f,alhan
الما,f,alma
الماس,f,almas
المیرا,f,elmira
الناز,f,elnaz
الهام,f,elham
الهه,f,elahe
الیزه,f,elize
الیسا,f,alisa
الینا,f,elina
الیکا,f,elika
اماندا,f,amanda
امل,f,amal
امیرا,f,amira
امینا,f,amina
امینه,f,amine
اندیشه,f,andishe
انسیه,f,ansieh
انوش,f,anoosh
انوشا,f,anusha
انوشه,f,anushe
انیس,f,anis
انیسا,f,anisa
انیسه,f,anise
اولدوز,f,oldoz
اوین,f,avin
اکرم,f,akram
ایپک,f,ipak
ایران,f,iran
ایرانا,f,irana
ایرانه,f,irane
ایرسا,f,irsa
ایرن,f,iren
ایلقار,f,ilqar
ایناس,f,inas
باران,f,baran
بارین,f,barin
بالنده,f,balande
بالنده,f,balande
بامی,f,bami
بامین,f,bamin
بامیک,f,bamik
باوان,f,bavan
باور,f,bavar
باوند,f,bavand
بتول,f,batul
بدری,f,badri
بردبار,f,bordbar
برزین,f,barzin
برشید,f,barshid
برفین,f,barfin
برلیان,f,bereliyan
برنا,f,borna
برومند,f,boroomand
بشری,f,boshra
بلقیس,f,belqis
بلور,f,bolur
بلورین,f,bolurin
بلوط,f,balut
بنفشه,f,banafshe
بهار,f,bahar
بهاران,f,baharan
بهاردخت,f,bahardokht
بهاره,f,bahare
بهارک,f,baharak
بهامین,f,bahamin
بهان,f,behan
بهاور,f,bahavar
بهجت,f,behjat
بهدخت,f,behdokht
بهدیس,f,behdis
بهرامه,f,bahrame
بهرخ,f,behrokh
بهرو,f,behru
بهروزه,f,behruze
بهسا,f,behsa
بهشته,f,beheshte
بهشید,f,behshid
بهناز,f,behnaz
بهنوش,f,behnush
بهی,f,behi
بهین,f,behin
بهینا,f,behina
بهینا,f,behina
بهینه,f,behine
بوستان,f,bustan
بیان,f,bayan
بیتا,f,bita
بیتا,f,bita
بیدار,f,bidar
بیدخت,f,bidokht
بیدگل,f,bidgol
بینا,f,bina
پادمیرا,f,padmira
پارلا,f,parla
پارمیدا,f,parmida
پارمیس,f,parmis
پارمین,f,parmin
پالیز,f,paliz
پالیز,f,paliz
پانته آ,f,pantea
پانیا,f,paniya
پانیذ,f,paniz
پاکدل,f,pakdel
پاکدین,f,pakdin
پاکنوش,f,paknush
پدیده,f,padide
پرارین,f,pararin
پربها,f,porbaha
پرتو,f,parto
پردیس,f,pardis
پرسا,f,porsa
پرستش,f,parastesh
پرستو,f,parasto
پرستوک,f,parastuk
پرسیا,f,persiya
پرگشا,f,pargosha
پرگل,f,porgol
پرمیس,f,parmis
پرن,f,paran
پرنا,f,parna
پرند,f,parand
پرندخت,f,parandokht
پرندوش,f,parandosh
پرنوش,f,pornush
پرنون,f,parnun
پرنیا,f,parniya
پرنیان,f,parniyan
پروا,f,parva
پروانه,f,parvane
پروشات,f,porushat
پروین,f,parvin
پری,f,pari
پریا,f,pariya
پریان,f,pariyan
پریسا,f,parisa
پریسان,f,parisan
پریوش,f,parivash
پژال,f,pezhal
پژواک,f,pezhvak
پگاه,f,pegah
پوپک,f,pupak
پوران,f,puran
پونه,f,pune
پیراسته,f,piraste
پیمانه,f,peymane
پینار,f,pinar
پیوند,f,peivand
تابا,f,taba
تابان,f,taban
تابش,f,tabesh
تابنده,f,tabande
تارا,f,tara
تارادخت,f,taradokht
تافته,f,tafte
تالیا,f,taliya
تامارا,f,tamara
تامیلا,f,tamila
تانسو,f,tansu
تانیا,f,taniya
تایماز,f,taymaz
تبسم,f,tabassom
تحفه,f,tohfe
ترانه,f,tarane
ترلان,f,tarlan
ترمه,f,terme
تسنیم,f,tasnim
تلما,f,telma
تلناز,f,telnaz
تمنا,f,tamanna
تمیم,f,tamim
تندیس,f,tandis
تهمینه,f,tahmine
توتیا,f,tutiya
توران,f,turan
توسکا,f,tuska
توفان,f,tufan
توکا,f,tuka
تکتم,f,taktam
تیارا,f,tiyara
تیام,f,tiyam
تیبا,f,tiba
تیراژه,f,tirazhe
تیساگل,f,tisagol
تیما,f,tima
تینا,f,tina
تیهو,f,teyhu
ثریا,f,sorayya
ثمر,f,samar
ثمره,f,samare
ثمین,f,samin
ثمینا,f,samina
ثمینه,f,samine
ثنا,f,sana
جانا,f,jana
جانانه,f,janane
جاندخت,f,jandokht
جانمهر,f,janmehr
